periodo,MA341_ligeros,MA341_pesados,MA341_total,MA417_ligeros,MA417_pesados,MA417_total
2015-01,67652,3684,71631,54755,2939,57936
2015-02,68914,4052,73268,55719,3457,59423
2015-03,73191,4191,77703,58127,3568,61952
2015-04,81979,3328,85663,65017,3920,69225
2015-05,76761,4374,81469,64284,3825,68393
2015-06,86737,4888,92005,70168,4179,74657
2015-07,99095,4884,104409,80312,4119,84785
2015-08,108135,4613,113214,83015,3562,86939
2015-09,86179,4442,90997,70371,3215,73894
2015-10,79391,3664,83398,63268,3047,66593
2015-11,73120,4150,77588,60482,3051,63799
2015-12,75310,4081,79720,58947,2949,62155
2016-01,72615,3974,76589,58037,2583,60620
2016-02,75354,4292,79646,60366,3111,63477
2016-03,83164,5164,88328,65825,3229,69054
2016-04,83124,5593,88717,67672,3414,71086
2016-05,86384,5675,92059,68753,3473,72226
2016-06,91091,5189,96280,74219,3619,77838
2016-07,105241,5884,111125,83010,3345,86355
2016-08,109468,5871,115339,86636,3087,89723
2016-09,94680,5984,100664,73816,3402,77218
2016-10,80798,5632,86431,66171,3212,69383
2016-11,78379,5611,83989,62221,3009,65230
2016-12,76416,4024,80439,59016,2753,61769
2017-01,74461,4073,78534,60488,2889,63377
2017-02,82203,4434,86638,62335,3234,65570
2017-03,82618,5098,87717,66056,3529,69586
2017-04,89499,4924,94423,70578,3407,73985
2017-05,90124,5541,95666,72188,3969,76157
2017-06,96655,5565,102220,75420,3869,79289
2017-07,111476,5265,116742,88831,3676,92508
2017-08,117521,4965,122486,74527,4060,78588
2017-09,100817,4871,105689,66665,3650,70315
2017-10,87123,4952,92075,63207,3491,66699
2017-11,81789,4740,86530,61657,3303,64961
2017-12,77766,4117,81884,58561,2864,61425
2018-01,78707,4435,83142,59092,3029,62121
2018-02,80529,4793,85323,61763,3705,65469
2018-03,83193,4796,87990,63468,3511,66980
2018-04,91574,5146,96721,65377,3804,69181
2018-05,94194,5840,100035,70674,4060,74735
2018-06,98247,5567,103815,74040,3841,77882
2018-07,113043,5577,118620,79239,3755,82994
2018-08,121610,5153,126763,85081,3312,88393
2018-09,91712,4470,96182,68602,3265,71868
2018-10,88938,5373,94312,63829,3696,67526
2018-11,83999,4916,88915,59550,3586,63136
2018-12,80802,4527,85330,62691,3410,66102
2021-01,61566,3499,65065,40897,3383,44281
2021-02,57136,4600,61736,39992,4414,44407
2021-03,70279,4953,75233,45693,4567,50261
2021-04,73301,4830,78131,55897,3246,59144
2021-05,85067,5154,90221,57117,3264,60381
2021-06,96001,5638,101640,63656,3430,67086
2021-07,108397,5465,113862,69121,3147,72268
2021-08,116682,5111,121794,85018,2877,87896
2021-09,98825,5548,104373,76785,3300,80086
2021-10,91643,5200,96844,70665,3139,73805
2021-11,87817,5468,93286,69208,3387,72596
2021-12,81117,4853,85971,63662,2938,66601
2023-01,84219,4973,89192,63987,4621,68608
2023-02,85394,5460,90854,64195,5009,69203
2023-03,92937,6326,99263,69472,5734,75205
2023-04,99589,5799,105389,73228,5505,78732
2023-05,102624,6610,109233,73945,6294,80239
2023-06,109061,6701,115763,76831,6183,83014
2023-07,123547,6318,129866,84749,6549,91298
2023-08,127288,5885,133173,88298,6621,94918
2023-09,104732,6112,110844,75624,6179,81804
2023-10,96550,5984,102534,70583,6154,76738
2023-11,93239,6075,99314,68411,5893,74304
2023-12,87530,4927,92457,63091,4711,67803
2024-01,88369,5530,93899,65926,5174,71100
2024-02,90808,6003,96811,67067,5162,72229
2024-03,90908,5857,96765,67948,5053,73002
2024-04,102676,7101,109776,75299,6072,81372
2024-05,102157,7487,109644,76218,6772,82990
2024-06,105996,7972,113968,79116,7350,86466
2024-07,113289,10302,123591,84757,9796,94553
2024-08,113874,10645,124519,84996,10223,95219
2024-09,103923,7197,111118,77522,6608,84130
2024-10,98744,6513,105257,72495,5630,78124
2024-11,90569,5404,95973,67528,4800,72329
2024-12,88937,5091,94028,65590,4322,69912
